Watching for file changes with StatReloader
Not Found: /admin
"GET /admin HTTP/1.1" 404 2883
Not Found: /favicon.ico
"GET /favicon.ico HTTP/1.1" 404 2901
Not Found: /admin
"GET /admin HTTP/1.1" 404 2883
"GET /scuffers-admin/ HTTP/1.1" 302 0
"GET /scuffers-admin/login/?next=/scuffers-admin/ HTTP/1.1" 200 4266
"GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
"GET /static/admin/css/base.css HTTP/1.1" 200 22120
"GET /static/admin/css/login.css HTTP/1.1" 200 951
"GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
"GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
"GET /static/admin/js/theme.js HTTP/1.1" 200 1653
"GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
"POST /scuffers-admin/login/?next=/scuffers-admin/ HTTP/1.1" 302 0
"GET /scuffers-admin/ HTTP/1.1" 200 11231
"GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
"GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
"GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
"GET /api/products/ HTTP/1.1" 200 2
